B,))))UUU(((([&&&&&))))FFFF(((([!!W]C]////////
U,FFFFFF
W,//////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]///
W,^V~L]////////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[
W,V~L]////////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[-
W,~L]////////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--
W,L]////////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K
W,]////////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]
W,////////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]/
W,///////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]//
W,/////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////
W,^^^V~L]////////[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]///
W,///[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////[-
W,//[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////[--
W,/[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////[--K
W,[^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////[--K]
W,^^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////[--K]/
W,^^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////[--K]//
W,^V~L]////////[^^^VV^~L]////////[^^^VV^~L]////////[^^^VV^~L]]K[--K]////[--K]////[--K]////[--K]///
