Max # Rules: ,31, Avg # Producing Rules: ,6.470588, Avg # Drawing Rules: ,1.176471, Avg # Terminal Rules: ,1.176471
P2G Rule Ratio:,0.8461539
Avg # G2P Transitions:,2.4,Min # G2P Transitions:,0,Max # G2P Transitions:,24
Avg # P2G Transitions:,2.361538,Min # P2G Transitions:,0,Max # P2G Transitions:, 24
Avg # Repeated:,0.3384615,Min # G2P Transitions:,0,Max # G2P Transitions:,15

Length,# Overall, # Producing, # Graphical
001,000,000,000
002,013,013,020
003,018,010,008
004,012,007,005
005,014,011,003
006,005,005,000
007,003,002,001
008,003,003,000
009,004,004,000
010,012,012,000
011,000,000,000
012,001,001,000
013,004,004,000
014,004,004,000
015,000,000,000
016,002,002,000
017,010,010,000
018,005,005,000
019,001,001,000
020,001,000,001
021,000,000,000
022,002,001,001
023,002,002,000
024,001,000,001
025,001,001,000
026,000,000,000
027,000,000,000
028,000,000,000
029,000,000,000
030,000,000,000
031,000,000,000
032,000,000,000
033,000,000,000
034,000,000,000
035,001,001,000
036,001,001,000
037,000,000,000
038,000,000,000
039,000,000,000
040,000,000,000
041,000,000,000
042,000,000,000
043,001,001,000
044,002,002,000
045,001,001,000
046,000,000,000
047,000,000,000
048,000,000,000
049,000,000,000
050,000,000,000
051,000,000,000
052,000,000,000
053,000,000,000
054,001,001,000
055,000,000,000
056,000,000,000
057,000,000,000
058,000,000,000
059,000,000,000
060,000,000,000
061,000,000,000
062,000,000,000
063,000,000,000
064,000,000,000
065,000,000,000
066,000,000,000
067,000,000,000
068,000,000,000
069,000,000,000
070,000,000,000
071,000,000,000
072,000,000,000
073,000,000,000
074,000,000,000
075,000,000,000
076,001,001,000
077,000,000,000
078,000,000,000
079,000,000,000
080,000,000,000
081,000,000,000
082,000,000,000
083,001,001,000
084,000,000,000
085,000,000,000
086,000,000,000
087,000,000,000
088,000,000,000
089,000,000,000
090,000,000,000
091,000,000,000
092,000,000,000
093,000,000,000
094,000,000,000
095,000,000,000
096,000,000,000
097,001,001,000
098,002,002,000
099,000,000,000
Patterns
ID,Is Producer?,Is Graphical?, Is Terminal?, Length, Length Compressed, # Producing Symbols, # Graphical Symbols, # Terminal Symbols, Ratio P2G,Pattern
00001:,True,False,False,2,2,2,0,0,1,2S 
00002:,True,False,False,1,1,1,0,0,1,1S 
00003:,True,False,False,3,3,3,0,0,1,3S 
00004:,True,False,False,9,9,5,4,0,0.5555556,1S 1G 1S 1G 1S 1G 1S 1G 1S 
00005:,True,False,False,5,5,2,3,0,0.4,1S 1G 1S 2G 
00006:,True,False,False,5,5,2,3,0,0.4,2G 1S 1G 1S 
00007:,True,False,False,18,17,7,10,0,0.4117647,1S 1G SB 1S EB 1G 1S EB 1G 1S SB 1G 2S EB 1G 1S 
00008:,True,False,False,5,5,3,2,0,0.6,1S SB 1S EB 1S 
00009:,True,False,False,7,7,3,4,0,0.4285714,1G 1S 1G 1S 1G 1S 1G 
00010:,True,False,False,15,13,7,6,0,0.5384616,1S 1G 1S 1G 1S 1G 1S 1G 2S 1G 1S 1G 
00011:,True,False,False,15,13,7,6,0,0.5384616,1G 1S 1G 2S 1G 1S 1G 1S 1G 1S 1G 1S 
